name,gender,year_of_birth,level_of_education,country_three_letters,country_name
17dab4e2a0af1311ab5c097a9c9c5beee502f6a2,f,1993,Secondary/High School,GEO,Georgia
17dab4e2a0af1311ab5c097a9c9c5beee502f6a2,f,1993,Secondary/High School,ROM,Romania
58fdfe58948c450ef42f7b8a06594217e8f90064,f,1959,Masters or professional degree,USA,United States
811b8a6280b2237a9f27b3c112292005e6d31d2d,f,1987,Masters or professional degree,USA,United States
811b8a6280b2237a9f27b3c112292005e6d31d2d,f,1987,Masters or professional degree,ESP,Spain
5f735bd9d9d7b3dd38409c6c2ed5b897504c57ee,m,1991,Bachelors,GBR,United Kingdom
5f735bd9d9d7b3dd38409c6c2ed5b897504c57ee,m,1991,Bachelors,USA,United States
0e1d1389c080a7d2483a91d82ff2bb67956c0090,f,1991,Bachelors,LVA,Latvia
8683ad769aef4cfc21211921364e0883e889f688,f,1991,Bachelors,LVA,Latvia
0150531b7023e692dd10c1bab8fd0f4c4d14822e,m,1971,Associates,GRC,Greece
048a44add744dbae6f3af938f45b4819a93d1b59,f,1979,Secondary/High School,USA,United States
ff6eb6770e2770e79e03b197b54207b987f91803,f,1983,Masters or professional degree,POL,Poland
0e5a13c09d72440ca504fb928421fa7b0c64c6ef,m,1977,Associates,GRC,Greece
ae8ea499d639042e69b7b86087c7176b47aabf19,m,1978,Doctorate,ROM,Romania
68ed5bc285f92db720977d12eedffe5a779f06bd,m,1992,None,EGY,Egypt
aa55370327ebd76701ed70712c826d6be0266001,f,1982,Masters or professional degree,RUS,Russian Federation
8d2c61994330ce8b19468acc329c14786f8300fc,m,1984,Bachelors,USA,United States
99e5660386b5affb2b760c177b39c4b4872e1f5c,m,1980,Associates,USA,United States
2abe1203a060e560d1995e0a47872f9b9e79161e,m,\N,Bachelors,DNK,Denmark
0ecc3f24473c52d1665b2abd29d04107bd18529b,m,1995,Secondary/High School,CAN,Canada
3636ffab84745ca7b9f03ba474f2ec715244926c,m,1991,Bachelors,TUR,Turkey
b7d9298fc937d91cc54c8aaa982dd9d2c3c94b7f,m,1992,Bachelors,IND,India
e7379f2a3dc8cd637b6527d012ce4537dcdba158,m,\N,Bachelors,ZZZ,Reserved
e7379f2a3dc8cd637b6527d012ce4537dcdba158,m,\N,Bachelors,USA,United States
01f8238f71be2e9670fa4b16c5220d70f550819c,f,1986,Secondary/High School,USA,United States
c455adadb56af302253e6da8c8f7b9de04d92bda,m,1988,Associates,KOR,Korea Republic of
ff09269b840148b584992dae3bf79ce2da6c535e,f,1981,Other,USA,United States
99678002e5342dd385c5ea0b329c2a52b27fa1ad,m,1999,Junior secondary/junior high/middle School,USA,United States
d6f9e6842b973c1f15c46f65b46750b1e48b7dc6,f,\N,Bachelors,USA,United States
24f8a1f3ea44ffd7f484f54a715feb912cea8c18,m,1962,Other,USA,United States
be87c3421f0a5bdd7d0afbd265fc656e32068dc6,m,2001,Junior secondary/junior high/middle School,USA,United States
6f087fc66a307bc4f78cbf44106a861e93f304af,f,1972,Bachelors,GBR,United Kingdom
f835c8dda2586dc76f7fe581da1f42596e999808,m,1983,Masters or professional degree,MEX,Mexico
63ecbe571b71c55f63ac6901d1bcf91ec5d1c953,f,1975,Doctorate,SGP,Singapore
3b1c87e716c58681536ecdf70e947cb18b58e86a,f,1963,Bachelors,USA,United States
55e5e2a18c009abac54fa0270b3aef94cc85fd86,m,2003,Junior secondary/junior high/middle School,USA,United States
af8bd1db3ce5399ab64619227d10ee54613c796e,f,1987,Bachelors,USA,United States
af8bd1db3ce5399ab64619227d10ee54613c796e,f,1987,Bachelors,AUS,Australia
5bd2b7941f66e965ae5dc28c2a98ca031ff5b7d1,,\N,Bachelors,USA,United States
5bd2b7941f66e965ae5dc28c2a98ca031ff5b7d1,,\N,Bachelors,CAN,Canada
71a2e2161824f06671a995e1a16959995af97b87,m,1981,Associates,TTO,Trinidad and Tobago
71a2e2161824f06671a995e1a16959995af97b87,m,1981,Associates,BOL,Bolivia
8f62321a1772b72a1bee3ef5779eba2ed53f0df9,f,1981,Secondary/High School,USA,United States
8f62321a1772b72a1bee3ef5779eba2ed53f0df9,f,1981,Secondary/High School,CAN,Canada
6b6033c98608c7e62db72feef9f5fa5cd8e88b00,m,1955,Bachelors,SWE,Sweden
1f3ec3ed92c01fd843b2fa9e394e0af2ebff2bfb,f,\N,Doctorate,ITA,Italy
bf4064cfa0d9b5ab3028538b8a65c26ae882f396,m,1988,Masters or professional degree,NLD,Netherlands
bf4064cfa0d9b5ab3028538b8a65c26ae882f396,m,1988,Masters or professional degree,AUT,Austria
0a797f412f9ec711123fbd718ae7ef135592dbf4,m,1969,Masters or professional degree,EU,European Union
0a797f412f9ec711123fbd718ae7ef135592dbf4,m,1969,Masters or professional degree,GRC,Greece
0a797f412f9ec711123fbd718ae7ef135592dbf4,m,1969,Masters or professional degree,BGR,Bulgaria
fd9e7f6d79867016feb2c87937edf7b95e55d64c,f,1991,Masters or professional degree,RUS,Russian Federation
fd9e7f6d79867016feb2c87937edf7b95e55d64c,f,1991,Masters or professional degree,LTU,Lithuania
fd9e7f6d79867016feb2c87937edf7b95e55d64c,f,1991,Masters or professional degree,USA,United States
86b2a01d075b44052b51bd0e6c1cf31afc2a4092,m,1996,Secondary/High School,EGY,Egypt
8649e62b4e3dc29469eee4cd1e7432b0ad87fbbf,,\N,User withheld,DEU,Germany
8649e62b4e3dc29469eee4cd1e7432b0ad87fbbf,,\N,User withheld,FIN,Finland
a8d2d472ed0d7bae4453c20b90e6632a82ce62bf,f,1990,Bachelors,ALB,Albania
e609f4ab8168b941de1ecc068d3ed4637618f417,m,1990,Bachelors,PAK,Pakistan
7feee785036fda61a971104435e7c01b8c707373,m,1985,Masters or professional degree,BGR,Bulgaria
7f97202b53c72d75b4b7d7662a89866431a649ba,f,1990,Masters or professional degree,POL,Poland
a38533c63a78dd5b48829a974761a74306a1204b,f,1975,Masters or professional degree,HUN,Hungary
0fb9af54beff0b981baa6dd653735f2d8c154d61,m,1974,Secondary/High School,USA,United States
a127c79f38427b00ab492a2968c15cf828bf72b0,m,1976,Masters or professional degree,USA,United States
f57fa3c0dd4a6180d2d0f1de7f7dde7edea4ed66,f,1963,Bachelors,USA,United States
e82c817de876f866c6485acabdcf90fe6293077f,m,1989,Bachelors,USA,United States
ff61c9d1772ff11c22c0d4ba2bae54ff58e9297d,f,1976,Masters or professional degree,USA,United States
a1666b5ea78de6a84726690bbb15880029f6b997,f,1971,Secondary/High School,USA,United States
7379a80d1affb6b5947b39f0b630b31377f6323c,f,1996,Junior secondary/junior high/middle School,USA,United States
7379a80d1affb6b5947b39f0b630b31377f6323c,f,1996,Junior secondary/junior high/middle School,ZZZ,Reserved
69ecfe94b0f68a67b6461c10122bea22b641c7b0,f,1978,Bachelors,USA,United States
